"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"crashbasis.mtx.hgr","SPM",2,1652,1756.4,0.0034625,2.8358335
"crashbasis.mtx.hgr","SPM",4,3304,3458.6,0.01635,3.3523589
"crashbasis.mtx.hgr","SPM",8,6520,6740.4,0.024175,4.6730341
"crashbasis.mtx.hgr","SPM",16,10404,10645.8,0.026,7.266206
"crashbasis.mtx.hgr","SPM",32,16562,16859.2,0.02856,12.791444
"crashbasis.mtx.hgr","SPM",64,24810,25143.6,0.02908,32.604638
"crashbasis.mtx.hgr","SPM",128,37478,37721.6,0.0296,28.594933
"cryg10000.mtx.hgr","SPM",2,200,200,0,0.38738076
"cryg10000.mtx.hgr","SPM",4,364,372.3,0.01204,0.59675448
"cryg10000.mtx.hgr","SPM",8,654,671.9,0.02192,1.0269962
"cryg10000.mtx.hgr","SPM",16,1030,1057.3,0.028,1.76437854
"cryg10000.mtx.hgr","SPM",32,1608,1628.4,0.028754,2.89112748
"cryg10000.mtx.hgr","SPM",64,2434,2484.1,0.0254777,4.741201483
"cryg10000.mtx.hgr","SPM",128,3586,3651.4,0.0253165,6.40913469
"crystk02.mtx.hgr","SPM",2,798,804,0.025705305,0.48620076
"crystk02.mtx.hgr","SPM",4,2394,2513.7,0.0234536,1.16537126
"crystk02.mtx.hgr","SPM",8,4269,4366.5,0.02611684,2.0841281
"crystk02.mtx.hgr","SPM",16,7728,7953,0.0274914,3.5164063
"crystk02.mtx.hgr","SPM",32,12531,12671.7,0.0297483,5.297872752
"crystk02.mtx.hgr","SPM",64,20847,20950.2,0.0273973,7.419643486
"crystk02.mtx.hgr","SPM",128,31812,31951.8,0.00909091,11.119704731
"dac2012_superblue11.hgr","DAC2012",2,1311,1522,0.027195771,136.710012
"dac2012_superblue11.hgr","DAC2012",4,3637,3933.8,0.02917981,142.73666
"dac2012_superblue11.hgr","DAC2012",8,7844,8191.5,0.02927333,161.7635
"dac2012_superblue11.hgr","DAC2012",16,15359,15579.8,0.02990998,199.63196
"dac2012_superblue11.hgr","DAC2012",32,30217,30638.4,0.02992006,275.34027
"dac2012_superblue11.hgr","DAC2012",64,46993,47396,0.0299671,364.75487
"dac2012_superblue11.hgr","DAC2012",128,64942,65944,0.0299651,564.81183
"dac2012_superblue12.hgr","DAC2012",2,4386,5117,0.007551323807,243.3035545
"dac2012_superblue12.hgr","DAC2012",4,9116,10099,0.02275477,330.546205
"dac2012_superblue12.hgr","DAC2012",8,16121,16755,0.02694931,411.229946
"dac2012_superblue12.hgr","DAC2012",16,24635,25760.1,0.02908379,544.33245
"dac2012_superblue12.hgr","DAC2012",32,39958,41710.4,0.02992841,753.39003
"dac2012_superblue12.hgr","DAC2012",64,64543,66405.5,0.0299698,1050.00673
